amazon_key,tech
fm_-100545_-54137,4
fm_-102513_-89812,4
fm_-102784_-68884,23
fm_-102899_-53837,5
fm_-103794_-59387,4
fm_-105586_-70444,23
fm_-10591_-69593,5
fm_-105934_-77234,14
fm_-106395_-55347,17
fm_-107053_-92272,15
fm_-107053_-97912,20
fm_-107901_-105032,46
fm_-109037_-90170,63
fm_-11041_-68993,15
fm_-110999_-58797,5
fm_-111103_-102822,14
fm_-11246_40147,15
fm_-114045_-50737,6
fm_-115007_-45737,7
fm_-115044_-59387,21
fm_-115950_-91982,15
fm_-116030_-106590,15
fm_-116284_-80314,15
fm_-116849_-53807,25
fm_-11712_10644,19
fm_-120231_-89800,15
fm_-120287_-101330,8
fm_-122026_-105980,5
fm_-122031_-101630,41
fm_-128633_-75665,8
fm_-12945_-75483,15
fm_-130338_-64825,6
fm_-132683_-80045,4
fm_-133038_-61745,15
fm_-13441_-18018,8
fm_-13599_60821,6
fm_-13776_6668,5
fm_-137988_-64185,15
fm_-138083_-84955,15
fm_-138438_-63585,7
fm_-14045_-103957,15
fm_-141233_-84975,30
fm_-141588_-67905,15
fm_-142133_-73225,15
fm_-14286_-68653,15
fm_-15245_-105227,4
fm_-17089_-170,8
fm_-17112_12524,18
fm_-17376_4798,15
fm_-17499_-15730,4
fm_-17658_5768,4
fm_-19043_9917,31
fm_-19388_-104877,15
fm_-19410_6131,15
fm_-19448_-73252,7
fm_-1974_-68003,15
fm_-19895_-92187,5
fm_-19941_-5338,7
fm_-2001_-77322,5
fm_-20060_5821,7
fm_-20076_3598,5
fm_-2015_15652,5
fm_-21191_13007,4
fm_-21420_65811,7
fm_-21632_-90927,7
fm_-22503_28097,53
fm_-22991_19187,7
fm_-23155_62401,15
fm_-23226_5418,8
fm_-23541_-6558,6
fm_-2355_41697,10
fm_-23954_19837,15
fm_-23955_38007,7
fm_-24091_-73953,7
fm_-24399_54641,15
fm_-24505_58011,25
fm_-24645_-77053,4
fm_-24791_18627,30
fm_-24864_15992,5
fm_-25239_-11528,7
fm_-25298_-70212,4
fm_-25308_3268,18
fm_-25536_-68673,21
fm_-25637_-98667,5
fm_-25646_39577,7
fm_-25688_-104877,20
fm_-26591_9007,15
fm_-2687_-98677,17
fm_-27141_-7828,4
fm_-2739_-15288,53
fm_-27510_4271,15
fm_-27760_-68032,17
fm_-27932_-90947,15
fm_-2843_8667,15
fm_-28464_7902,8
fm_-28487_-480,15
fm_-28841_13027,14
fm_-29348_-73912,4
fm_-29455_64251,15
fm_-29690_-1648,4
fm_-29739_-10318,15
fm_-29843_15197,16
fm_-29976_4778,7
fm_-30501_5297,15
fm_-30741_-12488,8
fm_-30999_-15700,47
fm_-31715_11352,39
fm_-31741_-78563,5
fm_-31991_18607,15
fm_-32543_12377,5
fm_-32698_-15990,5
fm_-32745_-72353,15
fm_-32949_52111,5
fm_-32991_-3498,15
fm_-33148_-16030,7
fm_-3360_7012,8
fm_-34187_-94977,15
fm_-34298_-80132,7
fm_-34582_-1918,15
fm_-34793_10527,7
fm_-34926_8498,53
fm_-35139_-13428,3
fm_-35691_-12468,15
fm_-35810_571,3
fm_-35895_-72343,6
fm_-36105_36737,8
