amazon_key,x_coord,y_coord
fm_-59163_18844,24,249
fm_-75333_15784,95,374
fm_8709_-92828,277,58
fm_-2426_-82292,468,124
fm_-41606_1418,350,109
fm_-56922_-91471,457,204
fm_-107209_-59987,202,269
fm_-64488_26355,365,195
fm_-103580_-88560,495,347
fm_-117471_-91720,473,295
fm_-136693_-90565,253,216
fm_99739_10687,480,134
fm_-110610_-106580,277,346
fm_-142908_-82155,398,16
fm_-117517_-105630,149,274
fm_-94279_-47907,362,109
fm_-56530_-95987,32,214
fm_115209_63297,76,366
fm_-50756_-4827,185,153
fm_-7366_-82272,133,351
fm_-34365_13822,354,357
fm_-132978_-88375,36,159
fm_-32018_5748,152,201
fm_-63743_-68144,464,157
fm_-54241_-35694,495,217
fm_-14973_14597,309,135
fm_-57372_-3646,244,120
fm_81425_-101578,100,83
fm_-4095_-94677,496,298
fm_-55141_-28584,266,191
fm_-59669_-47629,164,226
fm_-10604_-68353,260,303
fm_-25785_6672,86,144
fm_-14444_7312,247,117
fm_-12087_-98047,128,104
fm_-100007_-94490,493,281
fm_-100083_-32414,318,335
fm_-100150_-103182,158,319
fm_-100179_-19704,191,261
fm_-100179_-25274,281,242
fm_-10031_-15598,493,308
fm_-10031_-9028,110,210
fm_-100361_-98530,232,333
fm_-100371_-98490,290,344
fm_-100411_-97240,327,254
fm_-100474_-70724,214,153
fm_-100474_-71954,24,114
fm_-100543_-29324,424,332
fm_-100563_-23784,247,186
fm_-100583_-31174,52,283
fm_-100586_-79994,318,168
fm_-10061_-73002,237,315
fm_-100629_-32734,412,242
fm_-100649_-34634,217,279
fm_-100693_-95402,322,7
fm_-10081_-81053,372,22
fm_-100841_-92930,90,67
fm_-100861_-97260,352,218
fm_-100897_-100670,206,174
fm_-100917_-104370,499,223
fm_-100919_-59997,178,334
fm_-100924_-73224,498,245
fm_-100927_-93220,157,26
fm_-100973_-21264,442,105
fm_-100975_-57207,442,172
fm_-101070_-95692,281,218
fm_-101119_-25934,349,255
fm_-10111_-78543,264,81
fm_-101158_-104692,421,327
fm_-101256_-67604,261,214
fm_-101311_-96660,164,328
fm_-10131_-70813,53,360
fm_-101347_-92630,26,27
fm_-101375_-52587,342,296
fm_-101435_-56587,309,114
fm_-10144_-68363,354,357
fm_-101490_-95082,132,80
fm_-101496_-81254,167,354
fm_-101633_-97242,188,51
fm_-101684_-82794,118,163
fm_-101741_-93530,348,248
fm_-10175_-74863,408,71
fm_-101777_-105010,204,85
fm_-101835_-49457,20,222
fm_-10185_-77673,354,26
fm_-101929_-49147,202,159
fm_-101950_-96362,193,102
fm_-102073_-101582,358,335
fm_-10215_-80723,54,215
fm_-102227_-92640,468,1
fm_-102285_-56007,411,300
fm_-10235_-73603,486,166
fm_-102399_-47947,177,351
fm_-102430_-103122,495,290
fm_-102697_-91400,317,159
fm_-10278_-11680,361,193
fm_-102829_-47297,398,351
fm_-10306_35817,41,54
fm_-10318_-104887,9,124
fm_-103204_-73234,52,186
fm_-10321_9607,332,40
fm_-103225_-47587,195,283
fm_-103257_-45737,108,26
fm_-103286_-69774,253,340
fm_-103300_-102512,338,9
fm_-103320_-95722,5,293
fm_-103320_-98172,309,269
fm_-103339_-55047,32,258
fm_-103383_-93552,359,98
fm_-10339_-3148,104,17
fm_-103403_-100342,492,183
fm_-10351_10237,124,94
fm_-103617_-94490,256,124
fm_-103754_-59377,321,365
fm_-103761_-105952,483,145
fm_-103790_-102532,55,62
fm_-10380_-10110,269,46
fm_-10380_-14490,48,179
fm_-10381_7117,403,26
fm_-103833_-100962,119,78
fm_-103853_-102202,349,52
fm_-103892_-91072,149,109
fm_-103893_-101002,366,212
fm_-103994_-45107,294,362
fm_-104064_-77224,256,339
fm_-10408_-79462,254,30
fm_-104104_-83104,349,297
fm_-10410_-4560,359,117
fm_-104166_-70394,271,132
fm_-104180_-94472,491,161
fm_-10430_-5750,332,253
fm_-10432_14704,302,271
fm_-10433_5772,483,195
fm_-104431_-100970,459,283
fm_-104517_-98850,468,279
fm_-104535_-59107,248,264
fm_-104544_-68864,159,85
fm_-1045_18172,409,54
fm_-104753_-89852,145,171
fm_-10479_-82612,454,330
fm_-10481_-9648,331,180
fm_-104881_-103500,442,127
fm_-104901_-101640,494,303
fm_-104917_-93890,398,190
fm_-104921_-100380,4,217
fm_-104937_-96950,194,224
fm_-105004_-80324,134,23
fm_-105024_-71934,339,151
fm_-10505_7642,378,97
fm_-105096_-69154,192,87
fm_-105110_-97572,241,92
fm_-105130_-98162,184,374
fm_-105139_-48517,494,80
fm_-105143_-89852,294,370
fm_-105193_-103432,216,208
fm_-105243_-92332,107,337
fm_-10525_11952,441,61
fm_-10525_12572,16,194
fm_-10531_-76723,359,285
fm_-105335_-60337,393,244
fm_-10541_-72033,437,214
fm_-105455_-57227,28,200
fm_-10545_14432,266,192
fm_-105465_-46367,406,203
fm_-105550_-91372,55,333
fm_-105559_-56287,127,238
fm_-105590_-91392,110,331
fm_-105827_-102520,61,206
fm_-105980_-100692,159,165
fm_-105989_-54407,221,176
fm_-106039_-54437,316,267
fm_-106070_-106580,202,21
fm_-106416_-71624,498,23
fm_-10644_-68363,9,120
fm_-106470_-100682,439,79
fm_-106583_-99092,484,291
fm_-106686_-67624,279,70
fm_-106727_-95690,4,166
fm_-106737_-101930,122,336
fm_-106747_-98210,403,357
fm_-106785_-57867,20,225
fm_-106788_-106240,67,267
fm_-106835_-55957,193,331
fm_-106886_-81294,145,212
fm_-106889_-56917,336,195
fm_-106910_-93232,416,286
fm_-106929_-55047,494,80
fm_-106971_-97878,365,100
fm_-107197_-98850,353,53
fm_-107224_-73224,113,252
fm_-107274_-78504,279,144
fm_-107337_-45747,202,114
fm_-107340_-93832,423,292
fm_-107379_-55687,285,66
fm_-10737_-101797,269,31
fm_-107429_-88910,350,47
fm_-10746_37077,489,339
fm_-107571_-91710,138,298
fm_-10757_-95577,103,226
fm_-107635_-67904,489,175
fm_-107660_-45467,295,79
fm_-107667_-100670,394,215
fm_-107685_-51357,390,243
fm_-107694_-80934,76,74
fm_-10769_-3188,31,130
fm_-107766_-72914,118,220
fm_-107796_-73514,41,181
fm_-107799_-51027,290,207
fm_-107810_-46087,178,177
fm_-107820_-103782,429,227
fm_-107893_-92952,31,104
fm_-108041_-101590,462,49
fm_-10809_-4388,304,83
fm_-1081_-73293,16,69
fm_-108239_-46707,193,25
fm_-108239_-57517,197,133
fm_-108290_-96362,262,240
fm_-10830_-10740,54,307
fm_-108437_-106900,54,351
fm_-108461_-92900,13,53
fm_-108471_-97250,342,296
fm_-108481_-101580,53,357
fm_-108481_-97250,18,185
fm_-108517_-90110,36,323
fm_-108575_-56587,155,338
fm_-108676_-74114,264,299
fm_-108700_-100032,457,289
fm_-10870_-5140,236,40
fm_-108726_-75704,370,313
fm_-108820_-106560,183,74
fm_-108843_-96052,49,257
fm_-108904_-82794,415,11
fm_-108921_-92930,197,112
fm_-108931_-93520,493,132
fm_-109035_-56627,247,232
fm_-109149_-55647,18,65
fm_-109160_-91992,89,220
fm_-10924_-82573,242,337
fm_-109283_-97242,480,134
fm_-109406_-83774,274,326
fm_-109447_-92610,390,175
fm_-10965_63011,22,206
fm_-109703_-103442,48,86
fm_-109713_-101602,269,196
fm_-109935_-57227,500,172
fm_-109935_-59077,247,99
fm_-110050_-98822,44,110
fm_-110066_-77544,398,223
fm_-110133_-95412,321,181
fm_-110192_-91062,20,70
fm_-110385_-52587,46,35
fm_-110425_-52567,317,198
fm_-110425_-53497,287,224
fm_-110487_-68234,252,180
fm_-110497_-45757,451,317
fm_-110499_-47927,445,194
fm_-110510_-96932,492,204
fm_-110797_-90750,57,230
fm_-110827_-90780,398,190
fm_-110936_-69774,238,355
fm_-110969_-58177,181,250
fm_-111083_-103482,18,300
fm_-111093_-93542,235,261
fm_-111191_-97280,412,187
fm_-111237_-98220,152,98
fm_-111379_-49137,269,216
fm_-111409_-56277,99,242
fm_-111409_-90422,18,102
fm_-111416_-81244,449,64
fm_-111419_-48527,261,187
fm_-111707_-96970,148,46
fm_-111725_-53487,353,46
fm_-111840_-93882,18,102
fm_-11185_-105207,231,68
fm_-111866_-69194,121,208
fm_-111889_-50417,331,77
fm_-11197_-103627,24,269
fm_-11197_-93707,494,143
fm_-112111_-89830,475,159
fm_-112116_-67654,351,14
fm_-112157_-97610,499,272
fm_-11218_-7970,495,182
fm_-11228_-7970,142,8
fm_-11229_-5678,295,175
fm_-112316_-72874,207,133
fm_-112413_-103452,124,69
fm_-112477_-106850,450,294
fm_-112511_-104710,409,100
fm_-112586_-82494,149,143
fm_-112624_-75084,198,271
fm_-112634_-71954,181,108
fm_-112635_-48817,183,201
fm_-112739_-54407,216,208
fm_-112769_-57547,159,83
fm_-112776_-81284,164,51
fm_-11294_7342,497,285
fm_-113017_-92000,112,185
fm_-113017_-93210,246,265
fm_-113047_-96320,494,35
fm_-113057_-90130,10,346
fm_-113064_-73194,492,166
fm_-113074_-79694,372,362
fm_-113137_-60597,187,370
fm_-113199_-50997,17,303
fm_-113209_-56937,390,175
fm_-113220_-101262,492,321
fm_-113220_-94472,262,257
fm_-11331_-7788,441,217
fm_-113343_-95432,266,349
fm_-113421_-97270,11,265
fm_-113441_-93520,494,108
fm_-113514_-71354,408,46
fm_-113514_-75044,171,161
fm_-113524_-72614,159,245
fm_-113564_-73214,398,367
fm_-113629_-55057,110,186
fm_-113650_-92632,433,122
fm_-113656_-77554,470,91
fm_-113680_-44497,298,309
fm_-113689_-56287,61,197
fm_-11373_12737,148,244
fm_-113783_-100372,478,52
fm_-1137_-68302,473,69
fm_-113984_-76594,478,175
fm_-113994_-69494,61,197
fm_-114089_-54437,489,265
fm_-114131_-104992,132,303
fm_-11435_63021,129,275
fm_-114397_-95100,421,165
fm_-114400_-105642,75,323
fm_-114475_-53487,237,272
fm_-114540_-44477,247,232
fm_-114566_-78174,109,299
fm_-114781_-97280,208,223
fm_-114999_-56937,145,302
fm_-115004_-59397,233,326
fm_-115010_-46057,69,172
fm_-115016_-75384,444,165
fm_-115123_-93522,70,272
fm_-115287_-92610,242,46
fm_-115307_-103790,428,185
fm_-115506_-90732,178,140
fm_-115583_-95992,43,256
fm_-11565_-70533,119,71
fm_-115661_-92910,405,146
fm_-115764_-79074,281,242
fm_-115835_-50087,97,206
fm_-115876_-73504,115,253
fm_-115900_-92002,433,261
fm_-115929_-56927,45,158
fm_-115940_-96362,496,316
fm_-116023_-97852,454,82
fm_-11615_-105227,158,63
fm_-116224_-80344,390,175
fm_-116234_-73184,434,210
fm_-116401_-105042,361,274
fm_-116615_-67954,242,337
fm_-116724_-80954,70,210
fm_-116810_-99402,183,200
fm_-116883_-101582,185,294
fm_-11695_6382,182,292
fm_-11699_-3168,24,269
fm_-117031_-103450,209,47
fm_-117174_-71344,281,32
fm_-11722_-90917,469,170
fm_-117240_-101292,391,209
fm_-117240_-102562,342,87
fm_-117250_-93262,290,258
fm_-117276_-74724,69,321
fm_-11729_-11518,23,209
fm_-117363_-97272,252,159
fm_-11743_21882,247,355
fm_-117511_-90420,111,107
fm_-117585_-51337,414,152
fm_-117594_-68854,173,157
fm_-117605_-54707,237,375
fm_-11765_-98997,132,80
fm_-117720_-102542,312,159
fm_-117816_-89190,403,26
fm_-11782_20362,26,168
fm_-11785_-92207,400,156
fm_-11791_-9708,318,132
fm_-11794_14112,249,126
fm_-11811_-7808,113,190
fm_-118156_-78764,357,361
fm_-118166_-77544,414,152
fm_-118384_-45107,224,213
fm_-118401_-98520,484,172
fm_-118515_-50117,31,249
fm_-118524_-74414,24,269
fm_-118524_-77824,469,140
fm_-11855_58631,435,309
fm_-118581_-105972,335,288
fm_-118590_-102552,144,301
fm_-118599_-54417,223,365
fm_-1185_-69903,169,119
fm_-118609_-58797,351,253
fm_-118671_-107810,278,262
fm_-118713_-91662,494,185
fm_-11881_-68933,124,56
fm_-118861_-90460,223,23
fm_-118867_-105650,347,212
fm_-118934_-80984,405,153
fm_-118975_-56567,115,317
fm_-11901_-74513,311,257
fm_-11901_-79783,356,365
fm_-119023_-105302,244,298
fm_-119060_-102522,68,229
fm_-119066_-74114,446,228
fm_-119066_-80004,119,132
fm_-119143_-92942,459,100
fm_-11921_-71443,318,132
fm_-119281_-90420,170,99
fm_-119340_-45437,422,30
fm_-119364_-75094,115,370
fm_-119500_-100642,327,129
fm_-119500_-96922,61,197
fm_-119519_-56267,267,85
fm_-119539_-47267,121,25
fm_-119593_-94162,184,129
fm_-119657_-106910,255,186
fm_-119714_-45107,206,56
fm_-119827_-91390,52,283
fm_-119865_-46377,351,36
fm_-119875_-51337,460,214
fm_-11995_-72963,421,123
fm_-11995_-75753,83,35
fm_-119960_-97562,110,184
fm_-119969_-55687,196,317
fm_-120161_-91040,281,141
fm_-120264_-72604,305,314
fm_-120324_-78504,95,250
fm_-120640_-88620,289,234
fm_-120667_-100690,62,237
fm_-120687_-104430,252,198
fm_-120774_-79104,308,115
fm_-120785_-56607,252,8
fm_-120839_-48507,267,298
fm_-120876_-78184,415,11
fm_-12107_-104277,184,254
fm_-121159_-90102,269,194
fm_-12149_-6898,333,176
fm_-121551_-91680,20,161
fm_-121580_-88560,162,147
fm_-12198_-72052,112,159
fm_-121991_-104740,440,281
fm_-122067_-96370,324,200
fm_-12214_17862,9,263
fm_-12225_-91587,391,40
fm_-12235_-15080,219,34
fm_-122497_-102550,101,29
fm_-12315_10752,390,177
fm_-12315_14472,500,35
fm_-12315_60501,230,23
fm_-12351_-77333,379,303
fm_-12355_8262,114,26
fm_-12465_-78283,121,208
fm_-12475_-77673,490,263
fm_-12556_35857,2,351
fm_-12557_-99947,372,374
fm_-12602_15004,257,113
fm_-12611_16767,442,184
fm_-12625_-94647,53,345
fm_-12630_4901,474,48
fm_-12639_57751,330,368
fm_-12650_-2799,316,94
fm_-12659_63941,4,166
fm_-12755_18182,256,170
fm_-127578_-71005,111,372
fm_-127598_-84665,180,130
fm_-127608_-88395,412,141
fm_-127628_-90835,163,300
fm_-12763_43607,63,254
fm_-127693_-63245,78,122
fm_-127693_-91185,413,41
fm_-127723_-86805,362,261
fm_-12781_-75153,259,49
fm_-12781_-80412,257,229
fm_-12811_-74533,355,10
fm_-128123_-76885,451,152
fm_-128143_-83765,208,160
fm_-128153_-89305,359,217
fm_-128478_-92695,266,192
fm_-128488_-80335,268,49
fm_-128623_-88105,31,249
fm_-129013_-78165,438,280
fm_-129023_-78775,416,286
fm_-129053_-85595,414,152
fm_-129483_-70725,341,119
fm_-129483_-72565,374,292
fm_-129504_-59885,305,174
fm_-129523_-63865,32,352
fm_-129612_-60515,52,171
fm_-12967_-103057,201,19
fm_-12978_-83232,403,119
fm_-129913_-74425,295,208
fm_-129943_-70735,222,149
fm_-129963_-73205,297,335
fm_-12996_-1740,73,33
fm_-13002_15634,88,281
fm_-13006_32747,244,85
fm_-13018_-3020,414,352
fm_-130318_-70415,319,304
fm_-13036_33967,21,206
fm_-130423_-65725,396,325
fm_-130748_-71635,318,132
fm_-130758_-76015,64,107
fm_-130778_-72885,370,170
fm_-130873_-91175,387,69
fm_-13089_-17718,425,244
fm_-131065_-95825,146,326
fm_-13118_-69582,459,100
fm_-131303_-90525,106,157
fm_-13131_-8468,329,78
fm_-131323_-63305,498,253
fm_-13136_-16158,490,82
fm_-13143_12407,259,185
fm_-13145_40447,496,67
fm_-13152_20322,235,289
fm_-131723_-68825,147,176
fm_-131763_-68245,18,102
fm_-131763_-71965,69,172
fm_-132088_-93355,403,357
fm_-132118_-92695,395,210
fm_-13240_8321,362,240
fm_-13245_52451,180,200
fm_-13251_-76713,266,191
fm_-132538_-84655,8,299
fm_-132578_-74155,130,312
fm_-1326_33997,493,249
fm_-13287_-105497,186,140
fm_-133028_-84035,403,357
fm_-133113_-63875,330,107
fm_-133113_-68215,494,303
fm_-13325_-73633,124,203
fm_-133428_-87745,15,67
fm_-13345_-74223,70,210
fm_-133543_-88075,20,222
fm_-133563_-70705,472,175
fm_-133574_-94925,270,273
fm_-133603_-96165,390,69
fm_-133642_-60475,483,40
fm_-133918_-85905,416,286
fm_-133928_-66095,55,96
fm_-133928_-71045,101,97
fm_-134023_-62685,205,291
fm_-134054_-59835,348,190
fm_-13417_-103667,414,152
fm_-13446_-1730,435,103
fm_-134473_-71345,29,320
fm_-13452_12534,216,175
fm_-13469_-14638,315,317
fm_-134828_-79055,147,83
fm_-134863_-62685,407,286
fm_-134873_-65165,413,290
fm_-134893_-66365,150,335
fm_-13500_5531,49,279
fm_-13502_14424,122,206
fm_-13511_10197,468,125
fm_-13511_18587,460,89
fm_-135353_-83105,7,305
fm_-135363_-64545,221,246
fm_-135373_-62685,395,126
fm_-13540_921,396,355
fm_-13550_2101,448,179
fm_-13562_11604,411,300
fm_-13565_-99627,264,197
fm_-135708_-69195,132,80
fm_-13575_-91567,383,104
fm_-13578_3888,37,38
fm_-13583_18277,90,263
fm_-136138_-66715,269,337
fm_-136223_-73795,24,114
fm_-136233_-71325,205,188
fm_-136243_-87465,97,322
fm_-136263_-70105,313,375
fm_-136273_-70075,141,223
fm_-136588_-87165,469,101
fm_-136683_-89345,29,30
fm_-136832_-60485,440,280
fm_-137028_-61695,377,128
fm_-13705_10752,78,261
fm_-13705_11972,302,197
fm_-137153_-88695,119,205
fm_-13720_2441,392,164
fm_-13726_-2302,391,64
fm_-137573_-72565,390,175
fm_-137583_-73835,72,195
fm_-137603_-63265,206,174
fm_-137613_-79415,130,301
fm_-137613_-88065,43,47
fm_-137623_-75655,126,225
fm_-137928_-90865,480,249
fm_-138033_-72585,39,157
fm_-138368_-80315,293,114
fm_-138378_-93375,18,226
fm_-138828_-64795,442,13
fm_-138848_-62335,177,70
fm_-138858_-62975,222,149
fm_-138913_-65745,237,24
fm_-138913_-77525,406,90
fm_-138933_-63875,135,258
fm_-138953_-83705,8,29
fm_-13897_-96227,424,172
fm_-139278_-71015,327,129
fm_-139278_-80955,193,132
fm_-139318_-80935,163,172
fm_-13936_41377,113,367
fm_-139373_-83715,330,329
fm_-139413_-83095,417,60
fm_-13949_-15858,302,186
fm_-13961_7757,135,44
fm_-13967_28977,480,134
fm_-139738_-92715,131,273
fm_-139748_-64815,76,74
fm_-13980_3401,35,125
fm_-139823_-93645,424,372
fm_-139873_-66975,70,173
fm_-14004_15342,329,173
fm_-140057_-95215,302,197
fm_-14008_-69572,326,205
fm_-14024_19527,342,40
fm_-14030_-10760,200,126
fm_-14044_14112,236,31
fm_-14053_9887,226,137
fm_-140743_-68885,359,155
fm_-141163_-79985,17,303
fm_-141203_-84335,403,193
fm_-14120_7022,343,359
fm_-14135_59921,318,251
fm_-14141_-68953,309,269
